type problem_size population_size generations fitness time[ms]
serial 8 7 3116 1.97135 11
serial 8 15 4220 0.402787 35
serial 8 25 4656 0.105629 66
serial 8 40 7461 0.0129104 172
serial 8 60 5391 0.030968 189
serial 8 100 7472 0.00487897 434
smp 8 7 2062 2.4164 13
smp 8 15 6213 0.179301 63
smp 8 25 1059 2.1483 16
smp 8 40 2780 0.444859 63
smp 8 60 3794 0.154156 123
smp 8 100 3687 0.0296378 210
openCL 8 7 366 5.23818 1119
openCL 8 15 613 4.32534 4163
openCL 8 25 305 6.10137 3720
openCL 8 40 1024 1.16109 19253
openCL 8 60 1278 0.498827 35433
openCL 8 100 422 5.22238 19536

serial 8 7 70435 0.296229 265
serial 8 15 100000 0.0664172 862
serial 8 25 100000 0.0461958 1444
serial 8 40 100000 0.0255844 2354
serial 8 60 100000 0.0323391 3550
serial 8 100 100000 0.0237645 5898
smp 8 7 48468 0.649234 284
smp 8 15 100000 0.0541234 1026
smp 8 25 100000 0.0298835 1539
smp 8 40 100000 0.0262675 2319
smp 8 60 100000 0.0210862 3290
smp 8 100 100000 0.0194308 5816
openCL 8 7 463 6.19204 1450
openCL 8 15 26481 1.01902 180394
openCL 8 25 27621 0.40799 324315
openCL 8 40 71816 0.0546242 1383635
openCL 8 60 25257 0.478902 743893
openCL 8 100 58693 0.0567307 6572248

serial 8 7 4788 1.93464e-06 17
serial 8 15 3617 2.52171e-07 30
serial 8 25 3360 3.73349e-07 47
serial 8 40 2307 9.91494e-08 52
serial 8 60 1607 1.5437e-06 54
serial 8 100 1639 2.53437e-07 94
smp 8 7 5038 0.000205865 28
smp 8 15 5132 1.22714e-08 58
smp 8 25 3020 4.35544e-08 51
smp 8 40 2611 3.61899e-08 70
smp 8 60 2684 1.74914e-08 113
smp 8 100 1768 1.03238e-09 136
openCL 8 7 274 0.921614 924
openCL 8 15 1742 0.0031364 12477
openCL 8 25 948 0.00602157 11990
openCL 8 40 1563 5.18691e-06 30873
openCL 8 60 1245 1.70893e-05 35964
openCL 8 100 1228 0.000301252 58233

serial 8 7 2036 0.0255313 12
serial 8 15 4911 0.000571833 66
serial 8 25 6323 8.13176e-05 144
serial 8 40 4149 0.000445038 158
serial 8 60 4154 9.90583e-05 243
serial 8 100 5796 2.15136e-05 565
smp 8 7 3617 0.00665296 26
smp 8 15 3696 0.000346402 49
smp 8 25 3260 0.000940462 69
smp 8 40 5652 1.65026e-05 198
smp 8 60 2316 0.000489478 136
smp 8 100 1996 1.26607e-05 187
openCL 8 7 1216 0.0740305 3735
openCL 8 15 1120 0.0218905 7490
openCL 8 25 1228 0.0231232 14021
openCL 8 40 1379 0.0107912 25173
openCL 8 60 1848 0.00460164 50483
openCL 8 100 701 0.0166308 32720

serial 8 7 3754 31.8386 16
serial 8 15 1658 22.8852 15
serial 8 25 2685 16.9143 44
serial 8 40 2741 31.8386 74
serial 8 60 979 44.773 40
serial 8 100 1785 26.8638 130
smp 8 7 1324 31.2439 8
smp 8 15 2821 43.7781 33
smp 8 25 1024 35.8184 19
smp 8 40 4973 19.8992 147
smp 8 60 3705 16.9143 158
smp 8 100 2906 18.9042 225
openCL 8 7 1622 47.0288 5011
openCL 8 15 400 70.7571 2783
openCL 8 25 943 43.7782 13686
openCL 8 40 1230 32.8336 24100
openCL 8 60 2563 15.9193 76868
openCL 8 100 2226 29.8487 109730

serial 8 7 1479 -2574.79 8
serial 8 15 13379 -2880.05 161
serial 8 25 8204 -2285.9 170
serial 8 40 5108 -2305.63 170
serial 8 60 7345 -2443.83 374
serial 8 100 4071 -2463.55 355
smp 8 7 703 -2321.77 6
smp 8 15 7349 -2345.13 98
smp 8 25 2532 -2164.12 68
smp 8 40 2062 -2266.16 82
smp 8 60 6917 -2542.29 405
smp 8 100 2241 -2246.43 228
openCL 8 7 607 -2305.39 1961
openCL 8 15 677 -2001.82 4878
openCL 8 25 818 -2593.79 9672
openCL 8 40 1831 -2281.72 35424
openCL 8 60 1704 -1812.11 49956
openCL 8 100 660 -2197.75 33326

serial 8 7 2825 0.391631 15
serial 8 15 1027 0.0910688 14
serial 8 25 595 0.467647 12
serial 8 40 590 0.497079 19
serial 8 60 1089 0.561654 54
serial 8 100 455 0.425909 37
smp 8 7 1639 0.167471 10
smp 8 15 1214 0.45763 15
smp 8 25 699 0.236415 14
smp 8 40 614 0.504526 20
smp 8 60 741 0.300356 35
smp 8 100 425 0.325025 37
openCL 8 7 1360 0.803033 4719
openCL 8 15 553 0.228995 4311
openCL 8 25 586 0.243651 7565
openCL 8 40 737 0.241153 13937
openCL 8 60 603 0.726759 18749
openCL 8 100 691 0.0911351 35974

serial 8 7 1269 -1.84568 8
serial 8 15 8444 -4.7253 131
serial 8 25 2822 -2.83841 76
serial 8 40 5302 -5.39485 224
serial 8 60 3719 -4.72531 246
serial 8 100 9477 -5.16664 1089
smp 8 7 4185 -4.42668 39
smp 8 15 9237 -4.98015 156
smp 8 25 1534 -5.32829 43
smp 8 40 6598 -3.76318 330
smp 8 60 10043 -4.72519 756
smp 8 100 2007 -3.24963 276
openCL 8 7 1160 -2.81907 4081
openCL 8 15 747 -2.64064 5893
openCL 8 25 3737 -4.7253 47780
openCL 8 40 4921 -4.49058 94707
openCL 8 60 4941 -4.49337 140097
openCL 8 100 2218 -2.93775 101359
